time,ax_measure,ax_ideal,ay_measure,ay_ideal
0.0,-0.1396592501792158,-0.19739208802178715,-0.02104768473915353,-0.0
0.001,-0.1724494840123781,-0.197392049058152,0.02734725706434601,-0.00012402509856067448
0.002,-0.2619393349036795,-0.197391932167262,-0.032877238481283606,-0.0002480501481582043
0.003,-0.15494492691786357,-0.19739173734916327,0.03245031557182886,-0.0003720750998294639
0.004,-0.2180150741211674,-0.19739146460393267,0.046258644395358116,-0.0004960999046113666
0.005,-0.21522686870766938,-0.19739111393167796,0.007887154258091656,-0.0006201245135408838
0.006,-0.15829134897327155,-0.19739068533253754,0.01664060971966693,-0.0007441488776550638
0.007,-0.19149115215680884,-0.1973901788066806,0.020943631634358688,-0.0008681729479910519
0.008,-0.17964431800733724,-0.19738959435430714,0.01618899947874428,-0.0009921966755861095
0.009000000000000001,-0.18267088870393972,-0.19738893197564786,0.0002516580129387422,-0.001116220011477633
0.01,-0.2506552839930534,-0.1973881916709643,0.07304014355305852,-0.0012402429067031732
0.011,-0.17632133014166668,-0.19738737344054866,0.015079826307583345,-0.0013642653123004556
0.012,-0.20749708891657062,-0.19738647728472403,0.02975547765319433,-0.0014882871793073986
0.013000000000000001,-0.26521802343886036,-0.19738550320384415,-0.04162675528344834,-0.0016123084587621333
0.014,-0.19166977245883024,-0.1973844511982936,0.023304210549264355,-0.001736329101703022
0.015,-0.18657799847231274,-0.19738332126848768,0.029425419100122745,-0.0018603490591686798
0.016,-0.21854547251149842,-0.19738211341487244,0.008711037391457253,-0.0019843682821979913
0.017,-0.26440047845050335,-0.1973808276379248,0.028185182915910014,-0.002108386721830131
0.018000000000000002,-0.15300033373185584,-0.19737946393815228,-0.01556489069540838,-0.002232404329104584
0.019,-0.20530730432842798,-0.19737802231609333,0.019336518364153683,-0.002356421055061162
0.02,-0.21311195596565927,-0.197376502772317,-0.025116821212401195,-0.0024804368507400257
0.021,-0.23214421360397647,-0.19737490530742322,-0.04926924145103737,-0.002604451667181704
0.022,-0.22472932073350044,-0.19737322992204262,0.017375718208136055,-0.0027284654554271094
0.023,-0.20979120176942476,-0.19737147661683668,-0.029095910807169608,-0.0028524781665175644
0.024,-0.20120230657544153,-0.19736964539249752,0.025537157509333105,-0.0029764897514948136
0.025,-0.257241570382341,-0.19736773624974807,0.012311222625464666,-0.003100500161401048
0.026000000000000002,-0.22431908374743317,-0.19736574918934205,0.06027035971331917,-0.0032245093472789204
0.027,-0.17809529617781378,-0.19736368421206396,0.012997719474023046,-0.0033485172601715693
0.028,-0.2002996249294404,-0.19736154131872893,-0.049838852637955504,-0.003472523851122634
0.029,-0.20687139264735097,-0.197359320510183,0.046471866893589904,-0.003596529071176276
0.03,-0.2161421074126118,-0.19735702178730294,-0.02384354395341488,-0.003720532871377199
0.031,-0.1854216919677587,-0.19735464515099618,0.025538384154996995,-0.003844535202770667
0.032,-0.18239837515451468,-0.19735219060220102,-0.04278167532706279,-0.003968536016402522
0.033,-0.1993990429779186,-0.19734965814188646,-0.0008248907072771336,-0.004092535263319207
0.034,-0.15614942007354776,-0.19734704777105228,-0.01703036733577936,-0.004216532894567783
0.035,-0.2033917487024117,-0.19734435949072904,0.0041529041208247615,-0.00434052886119595
0.036000000000000004,-0.19010880267759397,-0.19734159330197795,-0.054677728008828516,-0.004464523114252063
0.037,-0.12584399679503042,-0.19733874920589115,0.02894912528115412,-0.004588515604785156
0.038,-0.209083881314091,-0.1973358272035914,-0.01616506701657015,-0.004712506283844954
0.039,-0.20573157071961917,-0.19733282729623228,-0.03602734363524311,-0.004836495102481905
0.04,-0.19683979929812295,-0.19732974948499807,-0.04230293753134933,-0.0049604820117471835
0.041,-0.2546946608850093,-0.19732659377110387,0.003912443216173938,-0.0050844669626927234
0.042,-0.1433541744359297,-0.1973233601557955,-0.008095132921967547,-0.0052084499063712285
0.043000000000000003,-0.19175311924185395,-0.19732004864034955,0.020462004368628876,-0.005332430793836196
0.044,-0.19081795091244275,-0.19731665922607333,0.0037010796733376768,-0.005456409576141935
0.045,-0.21808887781367967,-0.19731319191430496,-0.048822665260187456,-0.005580386204343589
0.046,-0.23652415334126772,-0.19730964670641324,-0.014322097235384395,-0.005704360629497143
0.047,-0.21656809315832015,-0.1973060236037978,-0.013632297805047648,-0.005828332802659462
0.048,-0.21535611635242535,-0.19730232260788894,0.019206307581387846,-0.005952302674888292
0.049,-0.20556287213840374,-0.1972985437201478,-0.0387345210242381,-0.006076270197242293
0.05,-0.2456263152642713,-0.1972946869420662,-0.009947445510169533,-0.006200235320781049
0.051000000000000004,-0.1931289227291951,-0.19729075227516674,-0.0019357862961027952,-0.0063241979965650945
0.052000000000000005,-0.2512391409409536,-0.19728673972100277,-0.05518837216318284,-0.006448158175655926
0.053,-0.21725726253138658,-0.19728264928115835,-0.04130185441290249,-0.006572115809116029
0.054,-0.2305145366928489,-0.19727848095724837,0.014041023048895391,-0.006696070848008893
0.055,-0.22260597963056444,-0.1972742347509184,0.005349094102103024,-0.0068200232433990315
0.056,-0.23604866903370098,-0.19726991066384475,-0.0414241619409731,-0.006943972946352002
0.057,-0.16937015926878188,-0.19726550869773457,0.0032311241262345395,-0.007067919907934424
