time,px_measure,px_ideal
0.0,-0.01614397296648412,5.196802018228255e-13
0.1,-0.0012048757335284136,3.3972460160299492e-09
0.2,0.019467054225704696,1.7396518342068875e-08
0.3,-0.03374565427666048,5.178862171187734e-08
0.4,-0.003352460041104123,1.2480785382737687e-07
0.5,0.04137236750451484,2.6987732258485164e-07
0.6,0.020258323483556526,5.472850920062774e-07
0.7000000000000001,-0.02209408894460866,1.0640356422789546e-06
0.8,0.002465616136111182,2.0069881665255815e-06
0.9,-0.004678431352968717,3.6971541192949255e-06
1.0,-0.0016131724505593005,6.676992809559762e-06
1.1,-0.006146191555501869,1.1848067310840362e-05
1.2,0.014820404187845299,2.0683853603999457e-05
1.3,-0.03164358950664746,3.5552106484418865e-05
1.4000000000000001,-0.009563180726848324,6.019305133955098e-05
1.5,-0.0038694162140454937,0.0001004134965041561
1.6,-0.018679756408199532,0.00016507185978766154
1.7,-0.000939268129194294,0.00026744334083231427
1.8,0.014577064820544376,0.00042706521452747675
1.9000000000000001,0.012548787826012627,0.000672165350676996
2.0,0.011153920099104587,0.0010427671475075036
2.1,-0.023541175937472812,0.0015945345905554282
2.2,-0.033153136853271405,0.0024033651476637378
2.3000000000000003,0.018270828370210268,0.003570649360945764
2.4,-0.01638446457996252,0.005228990219027151
2.5,-0.017191853827251108,0.0075480128873163105
2.6,0.025653271260258112,0.010739702853686178
2.7,-0.0024561924216499904,0.015062503278919526
2.8000000000000003,0.01835938425944097,0.02082320543553641
2.9,0.015710060761827835,0.028375514412440565
3.0,0.0005919467826075997,0.03811410817162623
3.1,0.04462579712262653,0.05046307694297095
3.2,0.07826110537096453,0.0658578730393952
3.3000000000000003,0.08142838212515681,0.08472034637956016
3.4,0.12417244355208333,0.10742709301082956
3.5,0.10088760945519595,0.13427217529024144
3.6,0.18377597976323742,0.16542621786529157
3.7,0.21439037517611592,0.20089483999234417
3.8000000000000003,0.2709661793166021,0.24048021792951216
3.9,0.28723293058762306,0.2837501310713074
4.0,0.33416567444245227,0.33001898801600754
4.1,0.3926570518572761,0.3783449418360356
4.2,0.4152775021824644,0.42754623368456335
4.3,0.498190230426861,0.47623837592590723
4.4,0.5057398771522412,0.5228918152511112
4.5,0.5292838806860617,0.5659075033429656
4.6000000000000005,0.5995339670533932,0.6037056136119362
4.7,0.6326741373557552,0.6348207739573238
4.8,0.6499867403013475,0.6579959199005532
4.9,0.6890087928686113,0.6722664308875248
5.0,0.6591364152474896,0.6770267137533575
5.1000000000000005,0.6368568262226408,0.6720728310830598
5.2,0.6241840420886425,0.6576169934897995
5.3,0.6254952851904269,0.6342724808569121
5.4,0.5933434386142529,0.6030104854264657
5.5,0.5609180817392815,0.5650931083197497
5.6000000000000005,0.5275857586429352,0.5219889488451895
5.7,0.453702614425584,0.4752791420231336
5.8,0.41103998772185824,0.4265621817441511
5.9,0.34251702696216074,0.3773654073861528
6.0,0.3303486269194971,0.3290697516029916
6.1000000000000005,0.27409465709414216,0.28285246912600776
6.2,0.2628781196861766,0.23965037402585143
6.3,0.19875597683612792,0.20014390239034013
6.4,0.1451001129558504,0.16476035380018575
6.5,0.08088715158009072,0.13369314737025037
6.6000000000000005,0.09439094242531684,0.10693296969183905
6.7,0.08585823984046037,0.08430631644069135
6.8,0.06817115276766733,0.0655170815368618
6.9,0.042374139579718945,0.05018741461235705
7.0,-0.009414424805207038,0.03789490465499716
7.1000000000000005,0.014749036477465328,0.028204105105490464
7.2,0.016450773982914176,0.020691359777739633
7.3,0.017895370343144368,0.014962717259004955
7.4,0.0025972723800890152,0.010665369465663047
7.5,-0.008862847863071151,0.007493491053586413
7.6000000000000005,0.005048432103474798,0.0051895956603048386
7.7,0.019419651823195962,0.0035425907643494322
7.8,0.008368828965581195,0.002383646658696841
7.9,0.016185888936902145,0.0015808420287509554
8.0,-0.006644964608820917,0.0010333512013219466
8.1,-0.01833012824491667,0.0006657309456713017
8.2,0.002663624625693607,0.0004226726693395576
8.3,0.012024541079920606,0.000264424040045947
8.4,0.0077022922533895215,0.0001629590419132162
8.5,0.04331542527298561,9.888733194927084e-05
8.6,-0.00037347177657563036,5.903835883781599e-05
8.700000000000001,-0.021632819448134145,3.462668943205157e-05
8.8,0.00636367358851658,1.9895392639304003e-05
8.9,0.04243059977561869,1.1137661674865317e-05
9.0,0.010296797269778132,6.007705016707987e-06
9.1,-0.0010644616416763827,3.0462114028653795e-06
9.200000000000001,-0.05917792219519985,1.3605853704274423e-06
9.3,0.05489569633554471,4.1394254613079696e-07
9.4,-0.011039663452653944,-1.113243041998918e-07
9.5,-0.004763277613937165,-4.000320858923609e-07
9.6,-0.0074436026024334604,-5.579812611230414e-07
9.700000000000001,0.0047712291957656685,-6.447622219705522e-07
9.8,-0.0037606152557600613,-6.934006571951026e-07
9.9,-0.0016270924729762197,-7.219082798461343e-07
10.0,-0.03237973147116045,-7.399527853059472e-07
