time,ax_measure,ax_ideal
0.0,0.022953321720310393,5.196802018228255e-07
0.001,0.04626858130569881,5.232196903110513e-07
0.002,0.07363790191091342,5.267824814810018e-07
0.003,0.03079281425115879,5.303687230710171e-07
0.004,0.027208453832014087,5.339785637171007e-07
0.005,0.002947669130087913,5.37612152958135e-07
0.006,0.059420705505672765,5.412696412410861e-07
0.007,0.010490259973121273,5.44951179926261e-07
0.008,0.019324737309339077,5.486569212925979e-07
0.009000000000000001,0.038611267687795235,5.523870185429575e-07
0.01,-0.040523484007250136,5.561416258094717e-07
0.011,-0.022146947972535982,5.599208981589173e-07
0.012,0.010750417235077686,5.637249915980868e-07
0.013000000000000001,-0.0013234485280481402,5.675540630792496e-07
0.014,-0.010582801830338454,5.714082705055723e-07
0.015,-0.00199561236725421,5.75287772736624e-07
0.016,0.001537602802972003,5.791927295938933e-07
0.017,-0.054340717313760625,5.831233018663187e-07
0.018000000000000002,-0.003033825968898201,5.870796513158669e-07
0.019,0.04040005409129277,5.910619406831574e-07
0.02,0.02657177818477704,5.950703336930652e-07
0.021,-0.03676767392378029,5.991049950604158e-07
0.022,0.03795093386246425,6.031660904956697e-07
0.023,0.020532251531473703,6.07253786710641e-07
0.024,0.06786582532143721,6.113682514242833e-07
0.025,0.009863927250716189,6.155096533684559e-07
0.026000000000000002,-0.01206872415421751,6.196781622937446e-07
0.027,-0.027327700499561573,6.238739489753381e-07
0.028,-0.04783451078798043,6.28097185218891e-07
0.029,0.01857944232598129,6.323480438664536e-07
0.03,0.016522908860601114,6.366266988024094e-07
0.031,-0.015342405158985014,6.4093332495946e-07
0.032,0.03392826231869586,6.452680983246492e-07
0.033,-0.052279483592906656,6.496311959453983e-07
0.034,0.02304348979045585,6.540227959355762e-07
0.035,-0.047713767541560856,6.584430774816387e-07
0.036000000000000004,0.021408875280150612,6.628922208487435e-07
0.037,0.049457166695044616,6.673704073869462e-07
0.038,0.02821795165042299,6.718778195374043e-07
0.039,0.036453316234191714,6.764146408386176e-07
0.04,0.00833755504136155,6.809810559327241e-07
0.041,0.053076896009293044,6.855772505717878e-07
0.042,0.04700036120595199,6.902034116241625e-07
0.043000000000000003,-0.02391590614806371,6.948597270808677e-07
0.044,0.02905786003261815,6.995463860619993e-07
0.045,-0.035058707055609435,7.042635788231877e-07
0.046,-0.015773713019217296,7.09011496762067e-07
