time,r_measure,r_ideal,theta_measure
0.0,0.49770925862283033,0.5004436248059883,0.0012773565482678993
0.1,0.498538976202735,0.5004425345317556,0.06559905788182123
0.2,0.5225385553969064,0.5004393848406489,0.1242324379989449
0.3,0.516315193064156,0.5004342678786389,0.18905441031543135
0.4,0.49469876899496484,0.5004272844638793,0.2516950116574054
0.5,0.4842934831097248,0.5004185433743041,0.3144677140137243
0.6,0.5084574324726873,0.5004081606015184,0.3782887438403409
0.7000000000000001,0.4796650790393129,0.5003962585750944,0.44143176777857174
0.8,0.4980010775607999,0.5003829653615095,0.5024408273479762
0.9,0.49979138644822413,0.5003684138420684,0.5661935444539227
1.0,0.49247437897207064,0.5003527408742362,0.6286742162684575
1.1,0.5032733347360608,0.5003360864408734,0.6913324710254418
1.2,0.4951054063437179,0.5003185927919052,0.7520012353821282
1.3,0.4988340161767883,0.5003004035829822,0.8168233745710259
1.4000000000000001,0.4785472659583308,0.500281663015683,0.8794235684341667
1.5,0.5346146007701044,0.5002625149837885,0.9411574223623187
1.6,0.5125797117629864,0.5002431022301146,1.006211695479733
1.7,0.48805435307383244,0.5002235655183176,1.066594127848938
1.8,0.5140686209889862,0.5002040428240027,1.133631188345809
1.9000000000000001,0.49012355140288005,0.5001846685493443,1.1943002785005983
2.0,0.5156435538032645,0.5001655727653069,1.2576791500620157
2.1,0.47573605451127,0.50014688048539,1.3195944021777453
2.2,0.5094607205231073,0.5001287109746517,1.3825141588958452
2.3000000000000003,0.5173362720100751,0.500111177097572,1.4460380157075268
2.4,0.487472931291588,0.5000943847080976,1.5106301370698443
2.5,0.4982026826453287,0.5000784320849905,1.5682859570067118
2.6,0.49354215823790254,0.5000634094153463,1.633574894015418
2.7,0.49816845312876984,0.5000493983288882,1.6975747935474572
2.8000000000000003,0.5005444200356777,0.5000364714853678,1.7583655142028183
2.9,0.48842319363179654,0.5000246922171175,1.822633114335407
3.0,0.49718838084636663,0.5000141142284941,1.8872777803283374
3.1,0.5042789939923139,0.5000047813536436,1.949089449509313
3.2,0.48551075236564006,0.49999672737370665,2.011720050016528
3.3000000000000003,0.4896936215192488,0.4999899758942584,2.074875937040189
3.4,0.5049986799918253,0.49998454028344874,2.1378632140061002
